Model,MDO4104-3
Firmware Version,3.18

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.2,
Horizontal Delay,1.82,
Sample Interval,2e-05,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,20,0.02
Vertical Position,-0.18,-0.74
,,
,,
,,
Label,,
TIME,CH1,CH3
8.311400e-01,-0.525,-0.00375312
8.311600e-01,-0.49375,-0.0024
8.311800e-01,-0.496875,-0.001975
8.312000e-01,-0.521875,-0.00476562
8.312200e-01,-0.5375,-0.00462188
8.312400e-01,-0.534375,-0.00363125
8.312600e-01,-0.55,-0.00369375
8.312800e-01,-0.51875,-0.00241563
8.313000e-01,-0.534375,-0.0033
8.313200e-01,-0.534375,-0.006375
8.313400e-01,-0.5375,-0.00264375
8.313600e-01,-0.5,-0.00420312
8.313800e-01,-0.49375,-0.0023625
8.314000e-01,-0.46875,-0.001925
8.314200e-01,-0.51875,-0.00656875
8.314400e-01,-0.471875,-0.0025
8.314600e-01,-0.5375,-0.00421563
8.314800e-01,-0.521875,-0.00222813
8.315000e-01,-0.50625,-0.0018375
8.315200e-01,-0.5625,-0.00662187
8.315400e-01,-0.578125,-0.00292188
8.315600e-01,-0.578125,-0.00460312
8.315800e-01,-0.553125,-0.00216563
8.316000e-01,-0.540625,-0.00274063
8.316200e-01,-0.553125,-0.0062125
8.316400e-01,-0.553125,-0.00325
8.316600e-01,-0.509375,-0.00471875
8.316800e-01,-0.5125,-0.00261562
8.317000e-01,-0.5125,-0.00246562
8.317200e-01,-0.521875,-0.00505312
8.317400e-01,-0.53125,-0.00389063
8.317600e-01,-0.5,-0.00449375
8.317800e-01,-0.49375,-0.00245
8.318000e-01,-0.496875,-0.00283438
8.318200e-01,-0.490625,-0.00450313
8.318400e-01,-0.50625,-0.00445312
8.318600e-01,-0.46875,-0.0043625
8.318800e-01,-0.48125,-0.00295625
8.319000e-01,-0.496875,-0.00404375
8.319200e-01,-0.471875,-0.00278125
8.319400e-01,-0.5125,-0.00575938
8.319600e-01,-0.51875,-0.00352188
8.319800e-01,-0.496875,-0.00300312
8.320000e-01,-0.465625,-0.00435
8.320200e-01,-0.45625,-0.00192187
8.320400e-01,-0.53125,-0.0071
8.320600e-01,-0.5,-0.00332813
8.320800e-01,-0.484375,-0.00287812
8.321000e-01,-0.4375,-0.00376563
8.321200e-01,-0.43125,-0.00084375
8.321400e-01,-0.46875,-0.00712812
8.321600e-01,-0.471875,-0.00330313
8.321800e-01,-0.5375,-0.00394375
8.322000e-01,-0.496875,-0.00296875
8.322200e-01,-0.46875,-0.00113125
8.322400e-01,-0.496875,-0.00666875
8.322600e-01,-0.49375,-0.0031
8.322800e-01,-0.49375,-0.00413437
8.323000e-01,-0.484375,-0.00315625
8.323200e-01,-0.48125,-0.0016
8.323400e-01,-0.471875,-0.00622188
8.323600e-01,-0.4375,-0.0033
8.323800e-01,-0.48125,-0.00543125
8.324000e-01,-0.48125,-0.00312187
8.324200e-01,-0.50625,-0.00235938
8.324400e-01,-0.496875,-0.00502187
